,segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
163,1899101,1899105,48.82160568237305,-19.47188949584961,12.416666,0.5400116,11.341683,0.42837512,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
164,1899106,1899110,48.82151412963867,-19.47098922729492,16.942533,0.83065856,7.8055725,0.5373742,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
165,1899111,1899115,48.82141876220703,-19.470088958740234,11.972645,0.9969111,11.808717,0.56843936,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
166,1899116,1899120,48.821319580078125,-19.46919059753418,4.151446,0.0093474025,8.373346,0.023011355,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
167,1899121,1899125,48.82122421264648,-19.46829032897949,9.496252,0.018354146,7.988947,0.05259804,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
168,1899126,1899130,48.82113265991211,-19.467390060424805,20.117006,0.48851544,6.250203,0.3740248,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
171,1899141,1899145,48.82084655761719,-19.46469116210937,10.70452,0.4382606,10.9712925,0.77341604,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
172,1899146,1899150,48.82075119018555,-19.463790893554688,29.145596,1.1102002,10.465342,0.5431799,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
173,1899151,1899155,48.82065582275391,-19.462890625,34.882763,0.41278803,4.64604,0.51446843,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
174,1899156,1899160,48.820560455322266,-19.461992263793945,11.680798,1.056351,12.667732,1.2322583,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
176,1899166,1899170,48.82037353515625,-19.46019172668457,2.6083288,0.29781726,17.62554,0.3486092,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
177,1899171,1899175,48.820274353027344,-19.459291458129883,5.5304346,0.33742076,14.857486,0.76838243,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
178,1899176,1899180,48.82017517089844,-19.458393096923828,8.492531,0.4987847,14.69809,0.7901549,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
179,1899181,1899185,48.82008361816406,-19.45749282836914,14.0553,0.72038555,13.245917,0.5108727,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
180,1899186,1899190,48.81999206542969,-19.456592559814453,2.3614237,0.0038104842,12.089478,0.018303378,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
186,1899216,1899220,48.81941223144531,-19.451194763183597,4.4061055,0.010007934,13.843025,0.06591765,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
